,,, Salary ,,,,,,,
Rk,Player,Tm,year0,year1,year2,year3,year4,year5,Signed Using, Guaranteed 
81,Tobias Harris,PHI,14800000,,,,,,Bird Rights,14800000
82,J.R. Smith,CLE,14720000,15680000,,,,,Bird Rights,18590000
83,James Johnson,MIA,14651700,15349400,16047100,,,,Cap space,30001100
84,Brandon Knight,CLE,14631250,15643750,,,,,,30275000
85,Robin Lopez,CHI,14357750,,,,,,Cap Space,14357750
86,Luol Deng,LAL,14354067,4990000,4990000,4990000,,,,29324067
87,Marvin Williams,CHO,14087500,15006250,,,,,Cap Space,14087500
88,Taj Gibson,MIN,14000000,,,,,,Cap space,14000000
89,Jeremy Lin,ATL,13768421,,,,,,,13768421
90,Thaddeus Young,IND,13764045,,,,,,Bird Rights,13764045
91,Kenneth Faried,BRK,13764045,,,,,,,13764045
92,Tyson Chandler,PHO,13585000,,,,,,,13585000
93,Marcin Gortat,LAC,13565218,,,,,,,13565218
94,Cody Zeller,CHO,13528090,14471910,15415730,,,,1st Round Pick,43415730
95,Eric Gordon,HOU,13500375,14057730,,,,,Cap Space,27558105
96,Joe Ingles,UTA,13045455,11954546,10863637,,,,Bird Rights,35863638
97,Khris Middleton,MIL,13000000,13000000,,,,,Bird Rights,13000000
98,Michael Kidd-Gilchrist,CHO,13000000,13000000,,,,,1st Round Pick,13000000
99,Mason Plumlee,DEN,12917808,14041096,,,,,Cap space,26958904
100,Wilson Chandler,LAC,12800562,,,,,,,12800562
,,, Salary ,,,,,,,
Rk,Player,Tm, 2018-19 , 2019-20 , 2020-21 , 2021-22 , 2022-23 , 2023-24 ,Signed Using, Guaranteed 
101,Nikola Vucevic,ORL,12750000,,,,,,Bird Rights,12750000
102,Jordan Clarkson,CLE,12500000,13437500,,,,,Cap Space,25937500
103,Miles Plumlee,ATL,12500000,12500000,,,,,Bird Rights,25000000
104,Nikola Mirotic,MIL,12500000,,,,,,Cap space,12500000
105,Tyreke Evans,IND,12400000,,,,,,,12400000
106,Courtney Lee,DAL,12253780,12759670,,,,,Cap Space,25013450
107,Solomon Hill,NOP,12252928,13258781,,,,,Cap Space,25511709
108,J.J. Redick,PHI,12250000,,,,,,,12250000
109,Kelly Olynyk,MIA,12137527,11667885,12198243,,,,Cap space,23805412
110,Austin Rivers,PHO,12000000,,,,,,,12000000
111,Avery Bradley,MEM,12000000,12960000,,,,,,12000000
112,Kentavious Caldwell-Pope,LAL,12000000,,,,,,,12000000
113,Kemba Walker,CHO,12000000,,,,,,1st Round Pick,12000000
114,Will Barton,DEN,11830358,12960000,13920000,14880000,,,,38710358
115,T.J. Warren,PHO,11750000,10810000,11750000,12690000,,,1st Round Pick,47000000
116,Zach Randolph,DAL,11692308,,,,,,,11692308
117,Marcus Smart,BOS,11660716,12553471,13446428,14339285,,,,51999900
118,Patty Mills,SAS,11571429,12428571,13285714,,,,Bird Rights,37285714
119,Dion Waiters,MIA,11550000,12100000,12650000,,,,Cap space,36300000
120,Alec Burks,SAC,11536515,,,,,,1st Round Pick,11536515
,,, Salary ,,,,,,,
Rk,Player,Tm, 2018-19 , 2019-20 , 2020-21 , 2021-22 , 2022-23 , 2023-24 ,Signed Using, Guaranteed 
121,John Henson,CLE,11327466,9732396,,,,,1st Round Pick,21059862
122,Omer Asik,CHI,11286516,3000000,,,,,,14286516
123,Jusuf Nurkic,POR,11111111,12000000,12000000,12000000,,,,39111111
124,Iman Shumpert,HOU,11011234,,,,,,Bird Rights,11011234
125,Maurice Harkless,POR,10837079,11511234,,,,,Cap Space,22348313
126,Tony Snell,MIL,10607143,11392857,12178571,,,,Cap space,22000000
127,Meyers Leonard,POR,10595506,11286515,,,,,Cap Space,21882021
128,Terrence Ross,ORL,10500000,,,,,,Rookie scale extension,10500000
129,Bojan Bogdanovic,IND,10500000,,,,,,Cap space,10500000
130,Robert Covington,MIN,10464092,11301219,12138345,12975471,,,Cap Space,46879127
