Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
61,Tony Bradley,C,21,UTA,1,9,-10.4,0,0,0,24.3,11.9,18,0,0,0,25,19,,-0.1,0,-0.1,-0.341,,-17.3,-5.5,-22.8,0
62,Corey Brewer,SF,32,TOT,11,208,11.9,0.532,0.361,0.278,2.6,8,5.4,11.4,2.9,1.2,10,18,,0.1,0.2,0.4,0.081,,-1.4,-0.5,-1.9,0
62,Corey Brewer,SF,32,PHI,7,140,10.7,0.484,0.286,0.265,3.2,9.7,6.5,10,4,1.1,12.8,18.8,,-0.1,0.2,0.1,0.046,,-3.1,1,-2.1,0
62,Corey Brewer,SF,32,SAC,4,68,14.2,0.633,0.522,0.304,1.5,4.6,3,14.3,0.7,1.3,3.7,16.4,,0.2,0,0.2,0.154,,2,-3.4,-1.4,0
63,Mikal Bridges,SF,22,PHO,64,1793,11.1,0.561,0.585,0.195,2.6,9.9,6.2,9.8,2.7,1.4,10.5,12.4,,1.3,1,2.3,0.061,,-0.4,0.5,0.1,1
64,Miles Bridges,SF,20,CHO,60,1151,12,0.536,0.388,0.187,3.7,16.5,10,6.9,1.5,2.8,9.5,15.3,,0.6,1.1,1.7,0.07,,-2,0.4,-1.6,0.1
65,Isaiah Briscoe,PG,22,ORL,37,515,6.9,0.458,0.24,0.208,0.8,14.4,7.5,21.2,0.9,0.3,17,14,,-0.2,0.5,0.3,0.023,,-5,-0.5,-5.5,-0.5
66,Ryan Broekhoff,SG,28,DAL,29,234,10.5,0.578,0.757,0.029,1.4,12.7,7.1,9.6,0.4,1.1,6.6,13.9,,0.3,0.2,0.4,0.088,,-0.8,-1.7,-2.5,0
67,Malcolm Brogdon,SG,26,MIL,58,1697,18.3,0.619,0.321,0.207,3.8,12.2,8.2,16.5,1.1,0.6,10,20.8,,4.2,2.2,6.4,0.181,,2.2,-0.3,1.9,1.7
68,Dillon Brooks,SF,23,MEM,18,330,7.7,0.499,0.328,0.246,3,7.7,5.3,7.8,1.5,1.2,12.3,21.1,,-0.3,0.3,0,0.002,,-4.3,-1.6,-5.9,-0.3
69,MarShon Brooks,SG,30,MEM,29,387,11.7,0.518,0.32,0.195,3.4,9.9,6.6,11.2,1.2,1,10.3,23.8,,-0.2,0.4,0.2,0.024,,-3,-2.4,-5.3,-0.3
70,Bruce Brown,SG,22,DET,54,1092,6.4,0.452,0.298,0.194,3.7,11.5,7.5,9,1,2,11.9,12.5,,-0.4,1.2,0.8,0.035,,-4.1,1.4,-2.7,-0.2
71,Jaylen Brown,SG,22,BOS,58,1501,13.1,0.532,0.346,0.248,3.8,14.4,9.1,7.8,1.8,1.6,10.4,22.2,,0.2,2.1,2.3,0.073,,-2,-0.3,-2.2,-0.1
72,Lorenzo Brown,PG,28,TOR,26,212,6.4,0.38,0.394,0.042,2.6,13.1,7.9,17.3,2.7,1.9,18.1,17.8,,-0.5,0.3,-0.1,-0.029,,-5.6,1.5,-4.1,-0.1
73,Sterling Brown,SG,23,MIL,48,769,10.3,0.563,0.521,0.117,3.4,13.9,9,10.1,1.2,0.5,12.5,14,,0.5,1.1,1.6,0.1,,-1.4,0.1,-1.3,0.1
74,Troy Brown,SF,19,WAS,32,239,12,0.468,0.25,0.275,4,18.3,11,18.3,1.8,0.7,9.1,17.5,,0.1,0.2,0.2,0.046,,-3.3,-1,-4.3,-0.1
75,Jalen Brunson,PG,22,DAL,54,1026,11.1,0.514,0.316,0.196,1.8,10.1,6,20.6,1.3,0.2,12.6,18.6,,0.4,0.8,1.2,0.055,,-2,-1.2,-3.3,-0.3
76,Thomas Bryant,C,21,WAS,52,1000,21.7,0.688,0.169,0.266,8.2,25.7,16.8,9.9,0.9,3.8,9.5,17.4,,3.1,0.9,4,0.191,,1.3,0.6,1.9,1
77,Reggie Bullock,SG,27,TOT,52,1601,10.9,0.572,0.662,0.145,1.4,8.7,5,11.2,0.9,0.5,9.9,15.8,,1.7,1.2,2.9,0.087,,0.5,-0.8,-0.4,0.7
77,Reggie Bullock,SG,27,DET,44,1355,11,0.569,0.667,0.145,1.6,8.6,4.9,12,0.9,0.3,10.3,16.5,,1.4,1,2.4,0.086,,0.7,-1,-0.3,0.6
77,Reggie Bullock,SG,27,LAL,8,246,10.2,0.591,0.629,0.145,0.4,9.4,5,6.8,1.3,1.6,7,12,,0.2,0.2,0.4,0.088,,-0.8,-0.1,-0.8,0.1
78,Trey Burke,PG,26,TOT,42,824,15.7,0.502,0.255,0.214,2.6,7.5,5,22.7,1.6,0.5,7.7,25.4,,0.6,0.3,1,0.055,,0,-2.9,-2.9,-0.2
78,Trey Burke,PG,26,NYK,33,689,15.7,0.496,0.24,0.209,2.2,7.4,4.7,23.2,1.5,0.6,6.9,25.8,,0.5,0.2,0.7,0.048,,0,-3.2,-3.2,-0.2
78,Trey Burke,PG,26,DAL,9,135,15.8,0.538,0.345,0.241,4.8,7.9,6.4,20.6,2.5,0,12.3,23.2,,0.1,0.1,0.3,0.095,,0,-1.3,-1.3,0
