Rk_x,Player,Pos,Age,Tm_x,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Rk_y,Tm_y,year0,year1,year2,year3,year4,year5,Signed Using, Guaranteed 
59,jonah bolden,PF,23.0,PHI,43.0,626.0,13.1,0.606,0.585,0.17,8.2,19.4,13.9,8.5,1.3,4.9,17.4,13.8,0.5,0.9,1.5,0.11199999999999999,-0.6,2.0,1.4,0.5,367,PHI,1690000,1698450,1766550,1845000,,,,3388450
60,isaac bonga,PG,19.0,LAL,20.0,92.0,8.7,0.275,0.25,0.536,8.0,16.5,12.3,17.1,4.0,2.7,10.4,17.4,-0.2,0.2,-0.1,-0.026000000000000002,-6.4,3.3,-3.0,0.0,452,LAL,1000000,1663861,1416852,,,,,2663861
61,devin booker,SG,22.0,PHO,64.0,2242.0,20.3,0.584,0.33,0.36200000000000004,1.9,11.4,6.6,34.2,1.2,0.5,15.4,32.9,3.3,0.3,3.7,0.079,3.9,-2.9,1.0,1.7,258,PHO,3314365,27250000,29430000,31610000,33790000,,1st round pick,161364365
62,chris boucher,PF,26.0,TOR,27.0,139.0,21.4,0.537,0.515,0.22699999999999998,11.9,21.2,16.7,0.0,2.1,13.1,6.4,24.0,0.2,0.4,0.5,0.184,-2.8,0.8,-2.0,0.0,493,TOR,457418,1588231,,,,,,457418
63,avery bradley,SG,28.0,TOT,63.0,1905.0,7.6,0.496,0.40299999999999997,0.08199999999999999,2.5,7.3,4.9,11.8,1.0,0.7,12.4,16.2,-0.6,1.0,0.4,0.01,-1.7,-1.0,-2.7,-0.4,111,MEM,12000000,12960000,,,,,,12000000
63,avery bradley,SG,28.0,LAC,49.0,1463.0,5.6,0.46399999999999997,0.41,0.06,2.6,6.7,4.7,8.8,0.9,0.9,12.4,14.2,-1.0,0.7,-0.3,-0.01,-2.4,-0.7,-3.1,-0.4,111,MEM,12000000,12960000,,,,,,12000000
63,avery bradley,SG,28.0,MEM,14.0,442.0,14.5,0.565,0.38799999999999996,0.133,2.0,9.3,5.6,21.7,1.6,0.0,12.3,23.0,0.3,0.4,0.7,0.07400000000000001,0.6,-2.1,-1.5,0.1,111,MEM,12000000,12960000,,,,,,12000000
64,tony bradley,C,21.0,UTA,2.0,12.0,-0.8,0.25,0.0,0.0,18.4,26.6,22.6,0.0,0.0,0.0,20.0,17.8,0.0,0.0,0.0,-0.125,-13.7,-5.8,-19.5,-0.1,369,UTA,1679520,1962360,3542060,,,,1st Round Pick,3641880
65,corey brewer,SF,32.0,TOT,29.0,455.0,12.6,0.54,0.364,0.355,5.4,11.0,8.2,10.3,3.1,1.3,10.3,14.2,0.5,0.6,1.0,0.109,-0.7,1.1,0.4,0.3,345,SAC,2000000,,,,,,,2270496
65,corey brewer,SF,32.0,TOT,29.0,455.0,12.6,0.54,0.364,0.355,5.4,11.0,8.2,10.3,3.1,1.3,10.3,14.2,0.5,0.6,1.0,0.109,-0.7,1.1,0.4,0.3,503,SAC,270496,,,,,,,2270496
65,corey brewer,SF,32.0,TOT,29.0,455.0,12.6,0.54,0.364,0.355,5.4,11.0,8.2,10.3,3.1,1.3,10.3,14.2,0.5,0.6,1.0,0.109,-0.7,1.1,0.4,0.3,504,PHI,270496,,,,,,,270496
65,corey brewer,SF,32.0,PHI,7.0,140.0,10.8,0.484,0.28600000000000003,0.265,3.1,9.5,6.4,10.0,4.0,1.1,12.8,18.8,-0.1,0.2,0.1,0.045,-3.2,0.8,-2.4,0.0,345,SAC,2000000,,,,,,,2270496
65,corey brewer,SF,32.0,PHI,7.0,140.0,10.8,0.484,0.28600000000000003,0.265,3.1,9.5,6.4,10.0,4.0,1.1,12.8,18.8,-0.1,0.2,0.1,0.045,-3.2,0.8,-2.4,0.0,503,SAC,270496,,,,,,,2270496
65,corey brewer,SF,32.0,PHI,7.0,140.0,10.8,0.484,0.28600000000000003,0.265,3.1,9.5,6.4,10.0,4.0,1.1,12.8,18.8,-0.1,0.2,0.1,0.045,-3.2,0.8,-2.4,0.0,504,PHI,270496,,,,,,,270496
65,corey brewer,SF,32.0,SAC,22.0,315.0,13.4,0.575,0.41700000000000004,0.41700000000000004,6.4,11.7,9.0,10.5,2.7,1.4,8.6,12.2,0.6,0.3,0.9,0.138,0.4,1.2,1.6,0.3,345,SAC,2000000,,,,,,,2270496
65,corey brewer,SF,32.0,SAC,22.0,315.0,13.4,0.575,0.41700000000000004,0.41700000000000004,6.4,11.7,9.0,10.5,2.7,1.4,8.6,12.2,0.6,0.3,0.9,0.138,0.4,1.2,1.6,0.3,503,SAC,270496,,,,,,,2270496
65,corey brewer,SF,32.0,SAC,22.0,315.0,13.4,0.575,0.41700000000000004,0.41700000000000004,6.4,11.7,9.0,10.5,2.7,1.4,8.6,12.2,0.6,0.3,0.9,0.138,0.4,1.2,1.6,0.3,504,PHI,270496,,,,,,,270496
66,mikal bridges,SF,22.0,PHO,80.0,2338.0,10.7,0.552,0.563,0.20800000000000002,2.5,9.8,6.1,10.0,2.6,1.3,10.5,12.2,1.6,1.2,2.8,0.057,-0.5,0.5,-0.1,1.1,244,PHO,3552960,4161000,4359000,5557725,,,1st Round Pick,7713960
67,miles bridges,SF,20.0,CHO,77.0,1592.0,12.5,0.5379999999999999,0.39,0.15,4.1,16.9,10.3,7.5,1.6,2.3,8.6,15.1,1.1,1.4,2.4,0.07400000000000001,-1.6,0.4,-1.2,0.3,263,CHO,3206640,3755400,3934320,5421493,,,1st Round Pick,6962040
68,isaiah briscoe,PG,22.0,ORL,39.0,559.0,6.7,0.455,0.24600000000000002,0.188,0.9,13.4,7.1,21.1,1.0,0.3,17.2,14.1,-0.3,0.6,0.3,0.024,-5.0,-0.6,-5.6,-0.5,469,ORL,838464,1663861,838464,,,,MLE,1338464
69,ryan broekhoff,SG,28.0,DAL,39.0,409.0,11.6,0.637,0.73,0.14800000000000002,1.9,13.5,7.7,7.3,0.5,0.8,8.9,14.1,0.6,0.3,0.9,0.10099999999999999,-0.2,-1.8,-1.9,0.0,475,DAL,838464,1443842,,,,,,838464
70,malcolm brogdon,SG,26.0,MIL,64.0,1832.0,17.8,0.614,0.326,0.203,3.8,11.7,8.0,16.1,1.2,0.6,10.0,20.7,4.2,2.3,6.5,0.172,1.9,-0.4,1.5,1.6,399,MIL,1544951,,,,,,Cap Space,1544951
71,dillon brooks,SF,23.0,MEM,18.0,330.0,7.6,0.499,0.32799999999999996,0.24600000000000002,3.0,7.6,5.3,7.7,1.5,1.2,12.3,20.9,-0.3,0.3,0.0,-0.003,-4.2,-1.8,-6.0,-0.3,430,MEM,1378242,1618520,,,,,MLE,1378242
72,marshon brooks,SG,30.0,MEM,29.0,387.0,11.6,0.518,0.32,0.195,3.4,9.8,6.5,11.0,1.2,1.0,10.3,23.6,-0.2,0.3,0.1,0.018000000000000002,-3.0,-2.6,-5.6,-0.3,372,CHI,1656092,,,,,,,1656092
73,bruce brown,SG,22.0,DET,71.0,1382.0,6.5,0.45899999999999996,0.305,0.179,3.3,10.8,6.9,8.8,1.3,2.1,12.4,11.6,-0.3,1.4,1.1,0.038,-4.0,1.5,-2.5,-0.2,466,DET,838464,1416852,1663861,,,,MLE,2255316
74,jaylen brown,SG,22.0,BOS,72.0,1869.0,13.4,0.546,0.349,0.254,3.7,14.0,8.8,7.6,1.7,1.5,10.1,22.0,0.6,2.3,3.0,0.076,-1.6,-0.6,-2.1,-0.1,211,BOS,5169960,6534829,,,,,1st Rd pick,11704789
75,lorenzo brown,PG,28.0,TOR,26.0,212.0,6.3,0.38,0.39399999999999996,0.042,2.6,12.9,7.9,17.3,2.7,2.0,18.1,17.9,-0.5,0.3,-0.1,-0.027000000000000003,-5.8,1.5,-4.3,-0.1,478,TOR,800000,,,,,,,800000
76,sterling brown,SG,23.0,MIL,56.0,984.0,11.2,0.569,0.478,0.114,3.0,14.3,9.0,10.9,1.2,0.7,11.9,15.1,0.8,1.4,2.1,0.10300000000000001,-1.3,0.1,-1.2,0.2,426,MIL,1378242,1618520,,,,,MLE,1378242
77,troy brown,SF,19.0,WAS,50.0,674.0,11.3,0.49,0.29,0.22,5.3,16.4,10.7,14.7,1.4,0.6,10.3,16.5,0.3,0.3,0.6,0.043,-2.5,-1.2,-3.7,-0.3,281,WAS,2749080,3219480,3372840,5170564,,,1st Round Pick,5968560
78,jalen brunson,PG,22.0,DAL,70.0,1508.0,12.8,0.5529999999999999,0.32299999999999995,0.205,1.8,9.5,5.7,21.7,1.2,0.2,12.4,19.0,1.5,0.9,2.4,0.078,-0.7,-1.6,-2.3,-0.1,448,DAL,1230000,1416582,1663861,1802057,,,Cap Space,4310443
79,thomas bryant,C,21.0,WAS,70.0,1456.0,20.7,0.67,0.196,0.275,8.1,25.1,16.5,9.3,0.8,3.7,9.7,17.5,4.1,1.3,5.3,0.175,1.1,0.3,1.4,1.2,418,WAS,1378242,,,,,,Minimum Salary,1378242
80,reggie bullock,SG,27.0,TOT,63.0,1879.0,10.4,0.563,0.662,0.14300000000000002,1.2,8.8,5.0,10.1,1.0,0.5,9.3,15.8,1.6,1.4,3.0,0.076,0.1,-1.0,-0.9,0.5,294,LAL,2500000,,,,,,Cap space,2500000
80,reggie bullock,SG,27.0,DET,44.0,1355.0,11.0,0.569,0.667,0.145,1.6,8.6,5.0,12.0,0.9,0.3,10.3,16.6,1.4,0.9,2.3,0.083,0.7,-1.2,-0.5,0.5,294,LAL,2500000,,,,,,Cap space,2500000
80,reggie bullock,SG,27.0,LAL,19.0,524.0,9.1,0.545,0.647,0.13699999999999998,0.4,9.3,4.9,5.0,1.4,1.1,6.3,13.7,0.2,0.4,0.7,0.06,-1.3,-0.5,-1.8,0.0,294,LAL,2500000,,,,,,Cap space,2500000
81,trey burke,PG,26.0,TOT,55.0,1070.0,16.2,0.518,0.276,0.226,2.6,6.8,4.7,23.8,1.4,0.6,7.7,24.8,1.2,0.4,1.6,0.073,0.5,-3.1,-2.7,-0.2,357,DAL,1795015,,,,,,Minimum Salary,1795015
81,trey burke,PG,26.0,NYK,33.0,689.0,15.6,0.496,0.24,0.209,2.2,7.3,4.7,23.6,1.5,0.6,6.9,26.0,0.4,0.2,0.6,0.044000000000000004,-0.1,-3.3,-3.4,-0.2,357,DAL,1795015,,,,,,Minimum Salary,1795015
81,trey burke,PG,26.0,DAL,22.0,381.0,17.2,0.5660000000000001,0.354,0.262,3.4,5.9,4.7,24.3,1.3,0.4,9.4,22.8,0.8,0.2,1.0,0.125,1.5,-2.8,-1.3,0.1,357,DAL,1795015,,,,,,Minimum Salary,1795015
82,alec burks,SG,27.0,TOT,64.0,1375.0,12.7,0.523,0.354,0.297,2.3,16.9,9.4,13.7,1.4,1.3,10.8,19.0,0.7,0.8,1.5,0.054000000000000006,-1.5,-0.6,-2.1,0.0,120,SAC,11536515,,,,,,1st Round Pick,11536515
82,alec burks,SG,27.0,UTA,17.0,269.0,12.5,0.547,0.377,0.33299999999999996,0.8,9.9,5.4,11.2,1.1,1.2,10.3,23.2,0.2,0.3,0.5,0.086,-2.2,-1.5,-3.7,-0.1,120,SAC,11536515,,,,,,1st Round Pick,11536515
82,alec burks,SG,27.0,CLE,34.0,979.0,13.2,0.517,0.35,0.28800000000000003,2.8,18.9,10.5,14.9,1.3,1.4,10.7,19.2,0.6,0.3,0.9,0.043,-1.1,-0.7,-1.7,0.1,120,SAC,11536515,,,,,,1st Round Pick,11536515
82,alec burks,SG,27.0,SAC,13.0,127.0,9.0,0.495,0.3,0.25,1.6,16.6,8.9,9.6,2.9,0.7,15.3,8.5,0.0,0.2,0.2,0.064,-3.8,1.9,-1.8,0.0,120,SAC,11536515,,,,,,1st Round Pick,11536515
83,deonte burton,SG,25.0,OKC,31.0,239.0,7.0,0.47,0.32899999999999996,0.146,1.7,10.7,6.1,5.1,1.2,2.8,9.3,16.4,-0.2,0.3,0.1,0.027999999999999997,-5.6,-0.6,-6.3,-0.3,,,,,,,,,,
84,jimmy butler,SF-SG,29.0,TOT,64.0,2169.0,20.4,0.5710000000000001,0.214,0.406,6.1,10.5,8.3,18.1,2.7,1.4,8.1,22.3,5.5,2.5,8.0,0.177,2.7,0.7,3.4,3.0,43,PHI,20445779,19841627,,,,,Bird Rights,20445779
84,jimmy butler,SG,29.0,MIN,10.0,361.0,22.3,0.579,0.287,0.389,4.7,10.7,7.7,18.2,3.2,2.4,7.1,23.0,1.0,0.4,1.3,0.17800000000000002,3.8,0.9,4.6,0.6,43,PHI,20445779,19841627,,,,,Bird Rights,20445779
84,jimmy butler,SF,29.0,PHI,54.0,1808.0,20.0,0.57,0.198,0.41,6.3,10.5,8.5,18.1,2.6,1.3,8.3,22.1,4.5,2.1,6.6,0.17600000000000002,2.5,0.7,3.1,2.3,43,PHI,20445779,19841627,,,,,Bird Rights,20445779
85,bruno caboclo,SF,23.0,MEM,31.0,703.0,11.6,0.561,0.59,0.239,5.9,15.7,10.7,8.9,0.8,4.1,13.7,15.3,0.4,0.8,1.2,0.083,-1.5,1.1,-0.3,0.3,491,MEM,487000,1845301,,,,,,670211
85,bruno caboclo,SF,23.0,MEM,31.0,703.0,11.6,0.561,0.59,0.239,5.9,15.7,10.7,8.9,0.8,4.1,13.7,15.3,0.4,0.8,1.2,0.083,-1.5,1.1,-0.3,0.3,519,MEM,183211,,,,,,,670211
86,jose calderon,PG,37.0,DET,48.0,628.0,7.2,0.456,0.47100000000000003,0.092,1.8,8.9,5.2,25.0,1.3,0.4,22.0,10.9,0.1,0.5,0.6,0.044000000000000004,-3.9,-1.1,-5.0,-0.5,310,DET,2393887,,,,,,Minimum Salary,2393887
87,kentavious caldwell-pope,SG,25.0,LAL,80.0,1949.0,12.6,0.57,0.586,0.20600000000000002,2.5,9.4,6.0,6.8,1.7,0.5,7.3,17.6,2.1,1.7,3.8,0.094,0.4,-1.2,-0.8,0.6,112,LAL,12000000,,,,,,,12000000
88,isaiah canaan,PG,27.0,TOT,30.0,629.0,8.0,0.518,0.585,0.146,1.0,9.2,5.1,18.2,1.1,0.3,16.7,14.2,0.0,0.1,0.1,0.01,-2.4,-2.7,-5.1,-0.5,495,PHO,456733,,,,,,,456733
88,isaiah canaan,PG,27.0,TOT,30.0,629.0,8.0,0.518,0.585,0.146,1.0,9.2,5.1,18.2,1.1,0.3,16.7,14.2,0.0,0.1,0.1,0.01,-2.4,-2.7,-5.1,-0.5,514,MIN,198580,,,,,,,198580
88,isaiah canaan,PG,27.0,TOT,30.0,629.0,8.0,0.518,0.585,0.146,1.0,9.2,5.1,18.2,1.1,0.3,16.7,14.2,0.0,0.1,0.1,0.01,-2.4,-2.7,-5.1,-0.5,533,MIL,99290,,,,,,,99290
88,isaiah canaan,PG,27.0,PHO,19.0,503.0,7.3,0.515,0.5579999999999999,0.155,1.1,9.9,5.4,17.0,1.1,0.0,17.4,14.2,-0.1,0.0,-0.1,-0.005,-2.7,-2.5,-5.1,-0.4,495,PHO,456733,,,,,,,456733
88,isaiah canaan,PG,27.0,PHO,19.0,503.0,7.3,0.515,0.5579999999999999,0.155,1.1,9.9,5.4,17.0,1.1,0.0,17.4,14.2,-0.1,0.0,-0.1,-0.005,-2.7,-2.5,-5.1,-0.4,514,MIN,198580,,,,,,,198580
88,isaiah canaan,PG,27.0,PHO,19.0,503.0,7.3,0.515,0.5579999999999999,0.155,1.1,9.9,5.4,17.0,1.1,0.0,17.4,14.2,-0.1,0.0,-0.1,-0.005,-2.7,-2.5,-5.1,-0.4,533,MIL,99290,,,,,,,99290
88,isaiah canaan,PG,27.0,MIN,7.0,95.0,12.4,0.536,0.655,0.138,0.0,5.7,2.8,26.8,1.0,0.9,11.5,15.3,0.1,0.0,0.2,0.081,-0.4,-4.6,-5.0,-0.1,495,PHO,456733,,,,,,,456733
88,isaiah canaan,PG,27.0,MIN,7.0,95.0,12.4,0.536,0.655,0.138,0.0,5.7,2.8,26.8,1.0,0.9,11.5,15.3,0.1,0.0,0.2,0.081,-0.4,-4.6,-5.0,-0.1,514,MIN,198580,,,,,,,198580
88,isaiah canaan,PG,27.0,MIN,7.0,95.0,12.4,0.536,0.655,0.138,0.0,5.7,2.8,26.8,1.0,0.9,11.5,15.3,0.1,0.0,0.2,0.081,-0.4,-4.6,-5.0,-0.1,533,MIL,99290,,,,,,,99290
88,isaiah canaan,PG,27.0,MIL,4.0,31.0,5.3,0.5,0.833,0.0,3.5,9.3,6.6,11.6,0.0,2.7,25.0,10.8,0.0,0.0,0.0,0.03,-4.2,-0.2,-4.3,0.0,495,PHO,456733,,,,,,,456733
88,isaiah canaan,PG,27.0,MIL,4.0,31.0,5.3,0.5,0.833,0.0,3.5,9.3,6.6,11.6,0.0,2.7,25.0,10.8,0.0,0.0,0.0,0.03,-4.2,-0.2,-4.3,0.0,514,MIN,198580,,,,,,,198580
88,isaiah canaan,PG,27.0,MIL,4.0,31.0,5.3,0.5,0.833,0.0,3.5,9.3,6.6,11.6,0.0,2.7,25.0,10.8,0.0,0.0,0.0,0.03,-4.2,-0.2,-4.3,0.0,533,MIL,99290,,,,,,,99290
89,clint capela,C,24.0,HOU,65.0,2187.0,23.5,0.654,0.0,0.34600000000000003,14.3,27.8,20.9,6.8,1.0,3.8,10.0,18.1,7.4,2.9,10.3,0.226,1.1,1.5,2.6,2.5,75,HOU,15293104,16456522,17500000,18543478,19586957,,,87380061
90,demarre carroll,PF,32.0,BRK,66.0,1688.0,12.2,0.5489999999999999,0.54,0.426,4.2,17.2,10.7,7.3,0.9,0.5,9.6,18.6,1.6,1.5,3.1,0.08800000000000001,-0.8,-0.8,-1.7,0.1,74,BRK,15400000,,,,,,Cap Space,15400000
91,jevon carter,PG,23.0,MEM,36.0,517.0,5.0,0.35700000000000004,0.532,0.165,2.6,10.2,6.3,17.6,2.4,2.0,15.9,17.4,-1.2,0.6,-0.6,-0.055999999999999994,-5.9,0.4,-5.5,-0.5,465,MEM,838464,1416852,,,,,MInimum Salary,2255316
92,vince carter,SF,42.0,ATL,74.0,1287.0,12.3,0.578,0.674,0.134,2.4,13.0,7.6,9.4,1.6,1.7,8.9,16.7,1.4,0.7,2.1,0.077,0.2,-1.4,-1.3,0.2,315,ATL,2393887,,,,,,Minimum Salary,2393887
93,wendell carter,C,19.0,CHI,44.0,1110.0,15.2,0.541,0.086,0.302,8.5,21.8,15.1,10.7,1.1,4.5,13.4,19.1,0.7,1.1,1.9,0.081,-2.3,1.8,-0.5,0.4,225,CHI,4441200,5201400,5448840,6920027,,,1st Round Pick,9642600
94,michael carter-williams,PG,27.0,TOT,26.0,334.0,13.9,0.45299999999999996,0.322,0.391,5.4,14.7,10.0,25.7,2.3,3.5,12.4,20.0,0.1,0.5,0.6,0.081,-2.5,1.6,-0.9,0.1,449,CHI,1200000,,,,,,,1200000
94,michael carter-williams,PG,27.0,TOT,26.0,334.0,13.9,0.45299999999999996,0.322,0.391,5.4,14.7,10.0,25.7,2.3,3.5,12.4,20.0,0.1,0.5,0.6,0.081,-2.5,1.6,-0.9,0.1,513,ORL,198580,,,,,,10-Day Contract,198580
94,michael carter-williams,PG,27.0,HOU,16.0,145.0,12.7,0.47600000000000003,0.311,0.426,2.2,7.8,5.0,22.8,3.0,3.5,12.1,24.7,0.0,0.2,0.1,0.044000000000000004,-3.3,-0.3,-3.6,-0.1,449,CHI,1200000,,,,,,,1200000
94,michael carter-williams,PG,27.0,HOU,16.0,145.0,12.7,0.47600000000000003,0.311,0.426,2.2,7.8,5.0,22.8,3.0,3.5,12.1,24.7,0.0,0.2,0.1,0.044000000000000004,-3.3,-0.3,-3.6,-0.1,513,ORL,198580,,,,,,10-Day Contract,198580
94,michael carter-williams,PG,27.0,ORL,10.0,189.0,14.8,0.425,0.33299999999999996,0.35200000000000004,7.8,20.0,13.8,27.9,1.8,3.5,12.6,16.4,0.1,0.3,0.4,0.109,-1.8,3.1,1.3,0.2,449,CHI,1200000,,,,,,,1200000
94,michael carter-williams,PG,27.0,ORL,10.0,189.0,14.8,0.425,0.33299999999999996,0.35200000000000004,7.8,20.0,13.8,27.9,1.8,3.5,12.6,16.4,0.1,0.3,0.4,0.109,-1.8,3.1,1.3,0.2,513,ORL,198580,,,,,,10-Day Contract,198580
95,alex caruso,PG,24.0,LAL,23.0,448.0,15.3,0.612,0.32799999999999996,0.423,4.2,9.5,6.9,16.0,2.3,1.5,15.6,17.8,0.7,0.5,1.2,0.129,0.1,0.3,0.4,0.3,,,,,,,,,,
96,omri casspi,SF,30.0,MEM,36.0,520.0,15.7,0.606,0.267,0.36,3.6,21.6,12.4,8.1,1.9,1.6,11.0,18.0,0.6,0.7,1.3,0.11900000000000001,-2.0,0.1,-1.9,0.0,329,MEM,2176260,,,,,,,2176260
97,willie cauley-stein,C,25.0,SAC,79.0,2176.0,17.9,0.564,0.003,0.33899999999999997,8.1,23.7,15.8,12.5,2.0,2.0,9.1,17.5,3.6,3.0,6.6,0.146,-0.2,2.3,2.1,2.3,218,SAC,4696875,,,,,,1st round pick,4696875
98,troy caupain,PG,23.0,ORL,4.0,16.0,30.7,0.625,0.375,0.0,6.6,13.5,10.0,42.7,3.1,0.0,0.0,21.8,0.1,0.0,0.1,0.348,9.4,-0.4,9.0,0.0,,,,,,,,,,
99,tyler cavanaugh,PF,24.0,UTA,9.0,22.0,9.0,0.507,0.625,0.25,5.0,19.3,12.3,0.0,0.0,0.0,10.1,19.2,0.0,0.0,0.0,0.035,-5.9,-6.2,-12.0,-0.1,,,,,,,,,,
100,tyson chandler,C,36.0,TOT,55.0,875.0,11.2,0.63,0.01,0.879,11.1,25.3,18.3,5.3,1.1,2.1,23.4,8.5,0.9,1.1,2.1,0.114,-3.1,1.8,-1.3,0.1,92,PHO,13585000,,,,,,,13585000
100,tyson chandler,C,36.0,TOT,55.0,875.0,11.2,0.63,0.01,0.879,11.1,25.3,18.3,5.3,1.1,2.1,23.4,8.5,0.9,1.1,2.1,0.114,-3.1,1.8,-1.3,0.1,317,LAL,2393887,,,,,,,
100,tyson chandler,C,36.0,PHO,7.0,89.0,11.6,0.653,0.0,1.5,8.6,40.6,24.3,9.1,1.1,0.9,26.0,13.0,0.1,0.1,0.2,0.094,-5.0,0.0,-4.9,-0.1,92,PHO,13585000,,,,,,,13585000
100,tyson chandler,C,36.0,PHO,7.0,89.0,11.6,0.653,0.0,1.5,8.6,40.6,24.3,9.1,1.1,0.9,26.0,13.0,0.1,0.1,0.2,0.094,-5.0,0.0,-4.9,-0.1,317,LAL,2393887,,,,,,,
100,tyson chandler,C,36.0,LAL,48.0,786.0,11.2,0.626,0.011000000000000001,0.7929999999999999,11.4,23.5,17.6,4.8,1.1,2.3,23.0,8.0,0.9,1.0,1.9,0.11599999999999999,-2.9,2.0,-0.9,0.2,92,PHO,13585000,,,,,,,13585000
100,tyson chandler,C,36.0,LAL,48.0,786.0,11.2,0.626,0.011000000000000001,0.7929999999999999,11.4,23.5,17.6,4.8,1.1,2.3,23.0,8.0,0.9,1.0,1.9,0.11599999999999999,-2.9,2.0,-0.9,0.2,317,LAL,2393887,,,,,,,
101,wilson chandler,PF-SF,31.0,TOT,49.0,1134.0,8.6,0.5429999999999999,0.579,0.08900000000000001,4.5,14.5,9.7,9.2,1.0,1.5,14.1,11.6,0.5,1.0,1.6,0.066,-1.2,0.4,-0.9,0.3,100,LAC,12800562,,,,,,,12800562
101,wilson chandler,PF,31.0,PHI,36.0,951.0,9.1,0.561,0.57,0.087,5.0,13.4,9.3,9.9,1.1,1.5,15.4,11.2,0.6,0.9,1.5,0.07400000000000001,-0.8,0.6,-0.2,0.4,100,LAC,12800562,,,,,,,12800562
101,wilson chandler,SF,31.0,LAC,13.0,183.0,6.2,0.47,0.615,0.096,1.8,20.2,11.3,5.1,0.8,1.3,8.4,13.7,-0.1,0.2,0.1,0.021,-3.5,-1.0,-4.5,-0.1,100,LAC,12800562,,,,,,,12800562
102,joe chealey,PG,23.0,CHO,1.0,8.0,2.0,0.33299999999999996,0.0,0.0,0.0,0.0,0.0,17.7,0.0,0.0,0.0,16.1,0.0,0.0,0.0,-0.079,-8.9,-8.2,-17.1,0.0,,,,,,,,,,
103,chris chiozza,PG,23.0,HOU,6.0,27.0,6.9,0.429,0.5710000000000001,0.0,4.0,8.4,6.2,15.1,1.8,0.0,12.5,12.9,0.0,0.0,0.0,0.03,-3.7,-1.7,-5.4,0.0,539,HOU,90005,,,,,,,137376
103,chris chiozza,PG,23.0,HOU,6.0,27.0,6.9,0.429,0.5710000000000001,0.0,4.0,8.4,6.2,15.1,1.8,0.0,12.5,12.9,0.0,0.0,0.0,0.03,-3.7,-1.7,-5.4,0.0,551,HOU,47371,,,,,,,137376
104,marquese chriss,PF,21.0,TOT,41.0,473.0,9.1,0.465,0.413,0.24600000000000002,8.4,23.6,15.7,6.6,1.6,2.0,16.3,20.4,-0.6,0.3,-0.2,-0.021,-4.8,-1.4,-6.2,-0.5,264,CLE,3206160,,,,,,1st Rd pick,3206160
104,marquese chriss,PF,21.0,HOU,16.0,104.0,3.4,0.391,0.441,0.20600000000000002,7.3,22.9,14.9,8.2,0.9,3.3,24.4,20.5,-0.3,0.1,-0.2,-0.10099999999999999,-9.3,-0.2,-9.4,-0.2,264,CLE,3206160,,,,,,1st Rd pick,3206160
104,marquese chriss,PF,21.0,CLE,25.0,369.0,10.8,0.483,0.406,0.256,8.7,23.8,15.9,6.1,1.7,1.6,14.0,20.4,-0.2,0.2,0.0,0.002,-3.5,-1.7,-5.2,-0.3,264,CLE,3206160,,,,,,1st Rd pick,3206160
105,gary clark,PF,24.0,HOU,50.0,632.0,8.9,0.473,0.912,0.048,3.8,16.1,9.8,3.9,1.6,3.5,4.5,10.8,0.2,0.7,0.9,0.067,-2.6,0.7,-1.8,0.0,,,,,,,,,,
106,ian clark,SG,27.0,NOP,58.0,899.0,7.4,0.494,0.521,0.09699999999999999,1.3,8.3,4.8,12.8,1.0,0.5,13.6,18.8,-0.5,0.3,-0.3,-0.013999999999999999,-2.8,-3.0,-5.7,-0.8,361,NOP,1757429,,,,,,Minimum Salary,1757429
107,jordan clarkson,SG,26.0,CLE,79.0,2166.0,17.1,0.541,0.377,0.165,3.9,10.0,6.9,15.7,1.3,0.5,9.5,27.7,2.0,0.0,2.1,0.046,1.7,-3.5,-1.7,0.1,102,CLE,12500000,13437500,,,,,Cap Space,25937500
108,john collins,PF,21.0,ATL,60.0,1793.0,21.7,0.627,0.191,0.321,12.1,21.6,16.8,10.7,0.6,1.8,11.2,23.8,4.9,0.9,5.9,0.157,2.6,-1.4,1.2,1.4,321,ATL,2299080,2686560,4137302,,,,1st Round Pick,4985640
109,zach collins,C,21.0,POR,74.0,1311.0,13.4,0.561,0.306,0.322,8.6,16.7,12.7,7.2,0.9,3.8,14.1,16.5,1.4,1.5,2.9,0.105,-0.9,1.0,0.0,0.7,242,POR,3628920,4240200,5406255,,,,1st Round Pick,7869120
110,darren collison,PG,31.0,IND,74.0,2104.0,17.0,0.581,0.293,0.289,1.9,10.0,6.0,29.9,2.5,0.4,14.4,17.6,4.1,2.9,7.0,0.159,1.4,0.1,1.4,1.8,135,IND,10000000,,,,,,Cap space,10000000
111,bonzie colson,SF,23.0,MIL,6.0,49.0,11.4,0.379,0.5,0.182,13.3,25.5,19.8,7.9,0.9,1.7,4.0,21.2,0.0,0.1,0.1,0.055,-4.2,-1.4,-5.6,0.0,,,,,,,,,,
112,mike conley,PG,31.0,MEM,70.0,2342.0,21.4,0.569,0.38,0.363,1.9,9.7,5.7,33.5,2.0,0.9,9.1,27.3,5.7,2.4,8.0,0.16399999999999998,4.8,-1.3,3.5,3.2,9,MEM,30521116,32511623,34504132,,,,Cap Space,85459122
