Rk_x,Player,Pos,Age,Tm_x,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Rk_y,Tm_y,year0,year1,year2,year3,year4,year5,Signed Using, Guaranteed 
16,ryan anderson,PF,30.0,MIA,9.0,43.0,4.6,0.354,0.667,0.222,9.9,12.4,11.2,6.0,1.1,0.0,16.8,11.8,0.0,0.0,0.0,-0.01,-4.9,-0.9,-5.8,0.0,44,MIA,20421546,15600000,,,,,Cap Space,36021546
17,ike anigbogu,C,20.0,IND,3.0,6.0,-6.0,0.0,0.0,0.0,18.9,36.3,27.8,19.4,0.0,14.9,25.0,29.2,-0.1,0.0,-0.1,-0.478,-22.6,8.6,-14.0,0.0,433,IND,1378242,,,,,,,1378242
18,giannis antetokounmpo,PF,24.0,MIL,71.0,2334.0,30.7,0.642,0.161,0.547,7.2,30.2,19.4,30.3,1.8,3.9,14.9,32.3,8.7,5.4,14.1,0.29100000000000004,5.6,5.0,10.6,7.4,29,MIL,24157304,25842697,27528090,,,,1st Round Pick,77528091
19,kostas antetokounmpo,PF,21.0,DAL,2.0,11.0,-0.8,0.21,0.0,1.3330000000000002,0.0,9.7,4.9,0.0,8.8,0.0,17.4,22.5,-0.1,0.0,-0.1,-0.247,-15.9,2.7,-13.3,0.0,,,,,,,,,,
20,carmelo anthony,PF,34.0,HOU,10.0,294.0,11.0,0.513,0.529,0.182,3.3,17.4,10.2,2.7,0.7,2.0,5.8,20.5,0.1,0.2,0.3,0.048,-3.0,-2.8,-5.8,-0.3,20,ATL,25534253,,,,,,,25534253
20,carmelo anthony,PF,34.0,HOU,10.0,294.0,11.0,0.513,0.529,0.182,3.3,17.4,10.2,2.7,0.7,2.0,5.8,20.5,0.1,0.2,0.3,0.048,-3.0,-2.8,-5.8,-0.3,314,CHI,2393887,,,,,,,2393887
21,og anunoby,SF,21.0,TOR,65.0,1317.0,10.0,0.546,0.503,0.157,4.7,10.7,7.8,4.5,1.6,1.4,10.8,15.4,0.4,1.6,2.0,0.073,-1.2,0.1,-1.1,0.3,347,TOR,1952760,2281800,3872215,,,,1st Round Pick,4234560
22,ryan arcidiacono,PG,24.0,CHI,79.0,1899.0,11.3,0.586,0.528,0.228,1.4,10.6,5.9,18.8,1.6,0.2,12.2,11.5,2.6,0.9,3.5,0.08800000000000001,-0.1,-1.0,-1.2,0.4,443,CHI,1349383,,,,,,Minimum Salary,1349383
23,trevor ariza,SF,33.0,TOT,69.0,2349.0,12.1,0.534,0.59,0.223,2.3,15.2,8.7,14.8,1.8,0.7,11.6,16.6,1.3,1.3,2.6,0.052000000000000005,-0.1,-0.4,-0.5,0.9,79,WAS,15000000,,,,,,Cap Space,15000000
23,trevor ariza,SF,33.0,PHO,26.0,884.0,10.5,0.525,0.612,0.18899999999999997,2.0,16.5,9.1,13.5,2.1,0.8,13.7,13.8,0.2,0.5,0.7,0.037000000000000005,-1.2,0.3,-0.9,0.2,79,WAS,15000000,,,,,,Cap Space,15000000
23,trevor ariza,SF,33.0,WAS,43.0,1465.0,13.0,0.5379999999999999,0.58,0.23800000000000002,2.5,14.5,8.4,15.5,1.7,0.7,10.6,18.2,1.1,0.8,1.9,0.062,0.6,-0.8,-0.2,0.7,79,WAS,15000000,,,,,,Cap Space,15000000
24,d.j. augustin,PG,31.0,ORL,79.0,2206.0,15.7,0.618,0.462,0.314,1.9,7.5,4.6,26.8,1.1,0.2,14.2,17.1,5.0,1.8,6.8,0.14800000000000002,1.7,-2.0,-0.3,0.9,171,ORL,7250000,7250000,,,,,Cap Space,14500000
25,deandre ayton,C,20.0,PHO,71.0,2183.0,20.5,0.608,0.005,0.217,11.2,26.2,18.6,9.6,1.3,2.5,11.7,21.2,4.1,1.8,5.9,0.13,0.0,0.2,0.2,1.2,157,PHO,8165160,9562920,10018200,12632950,,,1st Round Pick,17728080
26,dwayne bacon,SG,23.0,CHO,40.0,667.0,11.3,0.56,0.341,0.20199999999999999,1.3,12.9,6.9,9.5,0.7,0.7,6.5,16.7,0.7,0.3,1.0,0.069,-1.5,-2.3,-3.8,-0.3,435,CHO,1378242,1618520,,,,,MLE,1378242
27,marvin bagley,PF,19.0,SAC,60.0,1506.0,18.8,0.563,0.131,0.38,10.5,20.4,15.3,6.2,1.0,3.3,11.0,24.2,1.9,1.6,3.5,0.11199999999999999,-1.1,-0.5,-1.6,0.1,170,SAC,7305600,8556120,8963640,11312114,,,1st Round Pick,15861720
