,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
49,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
50,41,Michael Beasley,PF,30,LAL,26,277,16.0,.532,.111,.255,5.0,17.1,11.2,14.7,1.5,2.9,13.7,29.6,,-0.1,0.3,0.2,.038,,-3.6,-0.6,-4.2,-0.2
51,42,Marco Belinelli,SG,32,SAS,65,1502,12.9,.568,.579,.192,1.0,10.6,5.8,10.9,1.0,0.4,8.4,19.8,,1.7,0.8,2.4,.078,,1.2,-2.6,-1.4,0.2
52,43,Jordan Bell,C,24,GSW,54,627,13.9,.546,.014,.243,8.2,17.3,12.9,12.8,1.4,5.5,15.4,12.8,,0.7,0.8,1.5,.116,,-2.3,2.9,0.6,0.4
53,44,DeAndre' Bembry,SG,24,ATL,68,1640,9.8,.495,.289,.203,2.5,16.4,9.3,14.3,2.3,2.0,17.2,16.8,,-1.0,1.4,0.4,.012,,-3.7,1.0,-2.7,-0.3
54,45,Dragan Bender,PF,21,PHO,32,422,7.9,.492,.571,.257,4.9,20.7,12.7,8.5,0.8,1.2,14.6,13.9,,-0.1,0.2,0.0,.005,,-3.8,-1.4,-5.2,-0.3
55,46,Dairis Bertans,SG,29,NOP,1,6,-3.7,.000,.000,.000,0.0,0.0,0.0,18.4,0.0,0.0,0.0,6.9,,0.0,0.0,0.0,-0.108,,-10.6,-6.5,-17.1,0.0
56,47,Davis Bertans,PF,26,SAS,61,1314,13.5,.653,.737,.127,1.8,15.8,8.9,7.6,1.1,1.9,8.3,13.6,,2.3,1.1,3.4,.124,,2.0,-0.3,1.7,1.2
57,48,Patrick Beverley,PG,30,LAC,68,1863,11.5,.559,.588,.280,3.8,15.6,9.9,17.7,1.5,1.7,14.0,11.9,,2.3,1.9,4.2,.109,,1.0,1.5,2.6,2.1
58,49,Khem Birch,C,26,ORL,36,428,18.6,.674,.012,.512,11.6,19.3,15.4,8.3,1.4,4.3,11.0,12.1,,1.2,0.7,1.9,.211,,-0.2,2.8,2.6,0.5
59,50,Bismack Biyombo,C,26,CHO,39,548,15.1,.619,.000,.673,10.5,24.5,17.4,5.0,0.7,6.0,14.4,12.0,,0.9,0.7,1.6,.142,,-2.6,2.2,-0.4,0.2
60,51,Nemanja Bjelica,PF,30,SAC,62,1448,15.6,.592,.454,.153,7.0,18.7,12.8,11.4,1.5,3.1,12.7,16.6,,2.1,1.7,3.8,.125,,0.9,1.6,2.5,1.7
61,52,Antonio Blakeney,SG,22,CHI,46,630,11.9,.510,.239,.207,1.0,11.1,6.1,6.6,0.8,1.1,7.7,25.4,,-0.4,0.2,-0.2,-0.014,,-4.1,-4.0,-8.1,-1.0
62,53,Eric Bledsoe,PG,29,MIL,65,1897,19.4,.581,.392,.227,3.9,12.0,8.2,27.0,2.2,1.0,13.0,22.6,,4.0,3.0,7.0,.178,,2.7,0.8,3.5,2.6
63,54,Jaron Blossomgame,SF,25,CLE,27,439,10.2,.510,.368,.123,6.3,19.0,12.4,4.3,0.8,1.6,9.0,12.2,,0.2,0.1,0.3,.033,,-3.0,-1.4,-4.4,-0.3
