,Unnamed: 0,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
101,101,80,Deonte Burton,SG,25,OKC,23,200,7.9,.511,.318,.121,1.5,10.0,5.7,4.7,1.2,3.3,11.5,15.9,-0.1,0.2,0.2,.043,-5.1,-0.2,-5.3,-0.2
102,102,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
103,103,81,Jimmy Butler,SF-SG,29,TOT,54,1818,20.7,.576,.219,.386,6.0,10.4,8.2,18.1,2.8,1.5,8.2,22.5,4.6,2.1,6.8,.179,2.9,0.7,3.6,2.6
104,104,81,Jimmy Butler,SG,29,MIN,10,361,22.4,.579,.287,.389,4.7,10.7,7.7,18.1,3.2,2.4,7.1,22.9,1.0,0.4,1.4,.182,3.8,0.9,4.7,0.6
105,105,81,Jimmy Butler,SF,29,PHI,44,1457,20.3,.575,.201,.386,6.3,10.3,8.3,18.1,2.7,1.2,8.5,22.3,3.7,1.8,5.4,.179,2.6,0.6,3.3,1.9
106,106,82,Bruno Caboclo,SF,23,MEM,19,394,9.4,.533,.620,.220,4.8,14.6,9.6,8.2,0.9,4.4,14.8,14.7,0.0,0.5,0.5,.064,-2.6,1.5,-1.2,0.1
107,107,83,Jose Calderon,PG,37,DET,47,625,7.1,.456,.471,.092,1.5,8.6,5.0,24.8,1.3,0.4,22.0,10.9,0.0,0.6,0.6,.045,-3.9,-0.9,-4.8,-0.4
108,108,84,Kentavious Caldwell-Pope,SG,25,LAL,66,1512,11.5,.562,.575,.221,2.4,9.0,5.8,6.2,1.7,0.5,7.7,16.4,1.3,1.2,2.6,.081,-0.2,-1.1,-1.4,0.2
109,109,85,Isaiah Canaan,PG,27,TOT,30,629,8.0,.518,.585,.146,1.0,9.3,5.1,18.3,1.1,0.3,16.7,14.2,0.1,0.1,0.1,.011,-2.3,-2.6,-5.0,-0.5
110,110,85,Isaiah Canaan,PG,27,PHO,19,503,7.4,.515,.558,.155,1.1,10.0,5.4,17.1,1.1,0.0,17.4,14.2,-0.1,0.0,0.0,-0.005,-2.6,-2.4,-5.1,-0.4
111,111,85,Isaiah Canaan,PG,27,MIN,7,95,12.4,.536,.655,.138,0.0,5.7,2.8,26.8,1.0,0.9,11.5,15.3,0.1,0.0,0.2,.084,-0.3,-4.6,-4.9,-0.1
112,112,85,Isaiah Canaan,PG,27,MIL,4,31,5.3,.500,.833,.000,3.5,9.4,6.6,11.6,0.0,2.7,25.0,10.8,0.0,0.0,0.0,.032,-4.1,-0.1,-4.2,0.0
113,113,86,Clint Capela,C,24,HOU,50,1706,23.3,.642,.000,.343,14.7,26.5,20.5,6.8,1.0,4.2,10.5,18.5,5.4,1.9,7.3,.206,1.0,1.2,2.2,1.8
114,114,87,DeMarre Carroll,SF,32,BRK,55,1395,12.5,.549,.532,.455,4.3,17.9,11.1,7.6,0.9,0.5,9.8,18.8,1.4,1.3,2.6,.091,-0.9,-0.9,-1.7,0.1
115,115,88,Jevon Carter,PG,23,MEM,28,409,4.7,.368,.525,.136,1.4,9.6,5.4,16.1,2.7,2.3,16.7,16.5,-1.0,0.6,-0.4,-0.046,-6.1,1.0,-5.1,-0.3
116,116,89,Vince Carter,SF,42,ATL,62,1036,12.0,.573,.658,.131,2.5,13.9,8.1,9.1,1.6,1.6,9.4,16.8,1.0,0.6,1.6,.073,-0.2,-1.5,-1.7,0.1
117,117,90,Wendell Carter,C,19,CHI,44,1110,15.3,.541,.086,.302,8.5,21.7,15.1,10.8,1.1,4.6,13.4,19.2,0.7,1.2,2.0,.085,-2.4,2.0,-0.4,0.5
118,118,91,Michael Carter-Williams,PG,27,HOU,16,145,12.8,.476,.311,.426,2.3,8.0,5.0,22.9,3.0,3.5,12.1,24.6,0.0,0.2,0.1,.037,-3.2,-0.8,-4.0,-0.1
119,119,92,Alex Caruso,PG,24,LAL,9,85,12.5,.674,.278,.444,2.5,8.3,5.5,10.9,0.0,2.8,4.4,11.0,0.2,0.0,0.3,.146,-0.7,-1.1,-1.8,0.0
120,120,93,Omri Casspi,SF,30,MEM,36,520,15.9,.606,.267,.360,3.6,21.7,12.5,8.2,1.9,1.7,11.0,18.2,0.6,0.8,1.4,.126,-2.0,0.4,-1.5,0.1
121,121,94,Willie Cauley-Stein,C,25,SAC,65,1816,17.7,.553,.003,.346,8.3,22.9,15.5,12.7,2.0,2.1,9.3,18.3,2.7,2.5,5.3,.140,-0.4,2.3,1.9,1.8
